cycle,group,stage,groupName,stageName,population,Dgeneral,DProgExits,DProgEntries,D Treatment,SWIDU dynamics,Scr,CompositePartnerships,Infectiousness
0,0,0,Gen Pop Men,Uninfected,1.632921e+07,0,NaN,0,0,0,NaN,1.0949999,0
0,0,1,Gen Pop Men,Acute,53039.5,0,-0,NaN,0,0,NaN,1.0949999,0.16
0,0,2,Gen Pop Men,Early,265197.5,0,-0,0,0,0,NaN,1.0949999,0.08
0,0,3,Gen Pop Men,Med,212158,0,-0,0,0,0,NaN,1.0949999,0.09
0,0,4,Gen Pop Men,Late,212158,0,-0,0,0,0,NaN,1.0949999,0.16
0,0,5,Gen Pop Men,Adv,169726.4,0,-0,0,0,0,NaN,1.0949999,0.5
0,0,6,Gen Pop Men,AIDS,74255.3,0,-0,0,0,0,NaN,1.0949999,0.5
0,0,7,Gen Pop Men,Acute Tx,0,0,-0,0,0,0,NaN,1.0949999,0.008000001
0,0,8,Gen Pop Men,Early Tx,0,0,-0,0,0,0,NaN,1.0949999,0.0040000007
0,0,9,Gen Pop Men,Med Tx,0,0,-0,0,0,0,NaN,1.0949999,0.004500001
0,0,10,Gen Pop Men,Late Tx,0,0,-0,0,0,0,NaN,1.0949999,0.008000001
0,0,11,Gen Pop Men,Adv Tx,42431.6,0,-0,0,0,0,NaN,1.0949999,0.025000006
0,0,12,Gen Pop Men,AIDS Tx,31823.701,0,-0,0,0,0,NaN,1.0949999,0.025000006
0,1,0,Gen Pop Women,Uninfected,1.5351497e+07,0,NaN,0,0,0,NaN,1.0949999,0
0,1,1,Gen Pop Women,Acute,69475.15,0,-0,NaN,0,0,NaN,1.0949999,0.16
0,1,2,Gen Pop Women,Early,347375.75,0,-0,0,0,0,NaN,1.0949999,0.08
0,1,3,Gen Pop Women,Med,277900.6,0,-0,0,0,0,NaN,1.0949999,0.09
0,1,4,Gen Pop Women,Late,277900.6,0,-0,0,0,0,NaN,1.0949999,0.16
0,1,5,Gen Pop Women,Adv,222320.48,0,-0,0,0,0,NaN,1.0949999,0.5
0,1,6,Gen Pop Women,AIDS,97265.2,0,-0,0,0,0,NaN,1.0949999,0.5
0,1,7,Gen Pop Women,Acute Tx,0,0,-0,0,0,0,NaN,1.0949999,0.008000001
0,1,8,Gen Pop Women,Early Tx,0,0,-0,0,0,0,NaN,1.0949999,0.0040000007
0,1,9,Gen Pop Women,Med Tx,0,0,-0,0,0,0,NaN,1.0949999,0.004500001
0,1,10,Gen Pop Women,Late Tx,0,0,-0,0,0,0,NaN,1.0949999,0.008000001
0,1,11,Gen Pop Women,Adv Tx,55580.12,0,-0,0,0,0,NaN,1.0949999,0.025000006
0,1,12,Gen Pop Women,AIDS Tx,41685.09,0,-0,0,0,0,NaN,1.0949999,0.025000006
0,2,0,SW Women,Uninfected,26785.598,0,NaN,0,0,0,NaN,48.719997,0
0,2,1,SW Women,Acute,2008.9202,0,-0,NaN,0,0,NaN,48.719997,0.16
0,2,2,SW Women,Early,10044.601,0,-0,0,0,0,NaN,48.719997,0.08
0,2,3,SW Women,Med,8035.6807,0,-0,0,0,0,NaN,48.719997,0.09
0,2,4,SW Women,Late,8035.6807,0,-0,0,0,0,NaN,48.719997,0.16
0,2,5,SW Women,Adv,6428.5444,0,-0,0,0,0,NaN,48.719997,0.5
0,2,6,SW Women,AIDS,2812.4883,0,-0,0,0,0,NaN,48.719997,0.5
0,2,7,SW Women,Acute Tx,0,0,-0,0,0,0,NaN,48.719997,0.008000001
0,2,8,SW Women,Early Tx,0,0,-0,0,0,0,NaN,48.719997,0.0040000007
0,2,9,SW Women,Med Tx,0,0,-0,0,0,0,NaN,48.719997,0.004500001
0,2,10,SW Women,Late Tx,0,0,-0,0,0,0,NaN,48.719997,0.008000001
0,2,11,SW Women,Adv Tx,1607.1361,0,-0,0,0,0,NaN,48.719997,0.025000006
0,2,12,SW Women,AIDS Tx,1205.3522,0,-0,0,0,0,NaN,48.719997,0.025000006
0,3,0,MSM,Uninfected,835589.5,0,NaN,0,0,0,NaN,1.677,0
0,3,1,MSM,Acute,1695.525,0,-0,NaN,0,0,NaN,1.677,0.16
0,3,2,MSM,Early,8477.625,0,-0,0,0,0,NaN,1.677,0.08
0,3,3,MSM,Med,6782.1,0,-0,0,0,0,NaN,1.677,0.09
0,3,4,MSM,Late,6782.1,0,-0,0,0,0,NaN,1.677,0.16
0,3,5,MSM,Adv,5425.68,0,-0,0,0,0,NaN,1.677,0.5
0,3,6,MSM,AIDS,2373.735,0,-0,0,0,0,NaN,1.677,0.5
0,3,7,MSM,Acute Tx,0,0,-0,0,0,0,NaN,1.677,0.008000001
0,3,8,MSM,Early Tx,0,0,-0,0,0,0,NaN,1.677,0.0040000007
0,3,9,MSM,Med Tx,0,0,-0,0,0,0,NaN,1.677,0.004500001
0,3,10,MSM,Late Tx,0,0,-0,0,0,0,NaN,1.677,0.008000001
0,3,11,MSM,Adv Tx,1356.42,0,-0,0,0,0,NaN,1.677,0.025000006
0,3,12,MSM,AIDS Tx,1017.31506,0,-0,0,0,0,NaN,1.677,0.025000006
0,4,0,IDU,Uninfected,40957.203,0,NaN,0,0,0,NaN,3.69,0
0,4,1,IDU,Acute,1365.2401,0,-0,NaN,0,0,NaN,3.69,0.16
0,4,2,IDU,Early,6826.2,0,-0,0,0,0,NaN,3.69,0.08
0,4,3,IDU,Med,5460.9604,0,-0,0,0,0,NaN,3.69,0.09
0,4,4,IDU,Late,5460.9604,0,-0,0,0,0,NaN,3.69,0.16
0,4,5,IDU,Adv,4368.7686,0,-0,0,0,0,NaN,3.69,0.5
0,4,6,IDU,AIDS,1911.3362,0,-0,0,0,0,NaN,3.69,0.5
0,4,7,IDU,Acute Tx,0,0,-0,0,0,0,NaN,3.69,0.008000001
0,4,8,IDU,Early Tx,0,0,-0,0,0,0,NaN,3.69,0.0040000007
0,4,9,IDU,Med Tx,0,0,-0,0,0,0,NaN,3.69,0.004500001
